id,created_at,favorite_count,retweet_count
892420643555336193,Tue Aug 01 16:23:56 +0000 2017,37164,7950
892177421306343426,Tue Aug 01 00:17:27 +0000 2017,31970,5905
891815181378084864,Mon Jul 31 00:18:03 +0000 2017,24077,3904
891689557279858688,Sun Jul 30 15:58:51 +0000 2017,40486,8097
891327558926688256,Sat Jul 29 16:00:24 +0000 2017,38711,8787
891087950875897856,Sat Jul 29 00:08:17 +0000 2017,19461,2919
890971913173991426,Fri Jul 28 16:27:12 +0000 2017,11353,1940
890729181411237888,Fri Jul 28 00:22:40 +0000 2017,62682,17722
890609185150312448,Thu Jul 27 16:25:51 +0000 2017,26771,4022
890240255349198849,Wed Jul 26 15:59:51 +0000 2017,30668,6918
890006608113172480,Wed Jul 26 00:31:25 +0000 2017,29502,6883
889880896479866881,Tue Jul 25 16:11:53 +0000 2017,26763,4688
889665388333682689,Tue Jul 25 01:55:32 +0000 2017,46195,9428
889638837579907072,Tue Jul 25 00:10:02 +0000 2017,26028,4227
889531135344209921,Mon Jul 24 17:02:04 +0000 2017,14532,2117
889278841981685760,Mon Jul 24 00:19:32 +0000 2017,24242,5030
888917238123831296,Sun Jul 23 00:22:39 +0000 2017,27983,4225
888804989199671297,Sat Jul 22 16:56:37 +0000 2017,24582,4000
888554962724278272,Sat Jul 22 00:23:06 +0000 2017,19020,3303
888078434458587136,Thu Jul 20 16:49:33 +0000 2017,20916,3269
887705289381826560,Wed Jul 19 16:06:48 +0000 2017,29028,5054
887517139158093824,Wed Jul 19 03:39:09 +0000 2017,44523,11023
887473957103951883,Wed Jul 19 00:47:34 +0000 2017,66203,16943
887343217045368832,Tue Jul 18 16:08:03 +0000 2017,32357,9820
887101392804085760,Tue Jul 18 00:07:08 +0000 2017,29379,5601
886983233522544640,Mon Jul 17 16:17:36 +0000 2017,33702,7219
886736880519319552,Sun Jul 16 23:58:41 +0000 2017,11557,3047
886680336477933568,Sun Jul 16 20:14:00 +0000 2017,21546,4187
886366144734445568,Sat Jul 15 23:25:31 +0000 2017,20338,2997
886267009285017600,Sat Jul 15 16:51:35 +0000 2017,116,4
886258384151887873,Sat Jul 15 16:17:19 +0000 2017,26886,5932
886054160059072513,Sat Jul 15 02:45:48 +0000 2017,0,104
885984800019947520,Fri Jul 14 22:10:11 +0000 2017,31348,6343
885528943205470208,Thu Jul 13 15:58:47 +0000 2017,34570,6018
885518971528720385,Thu Jul 13 15:19:09 +0000 2017,19661,3504
885311592912609280,Thu Jul 13 01:35:06 +0000 2017,0,17414
885167619883638784,Wed Jul 12 16:03:00 +0000 2017,21047,4112
884925521741709313,Wed Jul 12 00:01:00 +0000 2017,74270,17038
884876753390489601,Tue Jul 11 20:47:12 +0000 2017,26811,5267
884562892145688576,Tue Jul 11 00:00:02 +0000 2017,23355,4430
884441805382717440,Mon Jul 10 15:58:53 +0000 2017,25986,5345
884247878851493888,Mon Jul 10 03:08:17 +0000 2017,70028,19109
884162670584377345,Sun Jul 09 21:29:42 +0000 2017,19574,2806
883838122936631299,Sun Jul 09 00:00:04 +0000 2017,20998,3250
883482846933004288,Sat Jul 08 00:28:19 +0000 2017,44119,9307
883360690899218434,Fri Jul 07 16:22:55 +0000 2017,21791,3485
883117836046086144,Fri Jul 07 00:17:54 +0000 2017,35695,6254
882992080364220416,Thu Jul 06 15:58:11 +0000 2017,22978,3672
882762694511734784,Thu Jul 06 00:46:41 +0000 2017,27171,4604
882627270321602560,Wed Jul 05 15:48:34 +0000 2017,26849,5710
882268110199369728,Tue Jul 04 16:01:23 +0000 2017,43178,10901
882045870035918850,Tue Jul 04 01:18:17 +0000 2017,28182,4607
881906580714921986,Mon Jul 03 16:04:48 +0000 2017,23369,3200
881666595344535552,Mon Jul 03 00:11:11 +0000 2017,48697,10039
881633300179243008,Sun Jul 02 21:58:53 +0000 2017,121,7
881536004380872706,Sun Jul 02 15:32:16 +0000 2017,47532,15015
881268444196462592,Sat Jul 01 21:49:04 +0000 2017,22268,4930
880935762899988482,Fri Jun 30 23:47:07 +0000 2017,16378,2629
880872448815771648,Fri Jun 30 19:35:32 +0000 2017,20454,3596
880465832366813184,Thu Jun 29 16:39:47 +0000 2017,27412,5873
880221127280381952,Thu Jun 29 00:27:25 +0000 2017,25963,3962
880095782870896641,Wed Jun 28 16:09:20 +0000 2017,26572,4086
879862464715927552,Wed Jun 28 00:42:13 +0000 2017,21494,3289
879674319642796034,Tue Jun 27 12:14:36 +0000 2017,301,10
879492040517615616,Tue Jun 27 00:10:17 +0000 2017,22567,2997
879415818425184262,Mon Jun 26 19:07:24 +0000 2017,101826,41749
879376492567855104,Mon Jun 26 16:31:08 +0000 2017,16178,2941
879130579576475649,Mon Jun 26 00:13:58 +0000 2017,0,6423
879050749262655488,Sun Jun 25 18:56:45 +0000 2017,21680,4410
879008229531029506,Sun Jun 25 16:07:47 +0000 2017,18248,2536
878776093423087618,Sun Jun 25 00:45:22 +0000 2017,18647,3866
878604707211726852,Sat Jun 24 13:24:20 +0000 2017,29043,6728
878404777348136964,Sat Jun 24 00:09:53 +0000 2017,0,1217
878316110768087041,Fri Jun 23 18:17:33 +0000 2017,0,6296
878281511006478336,Fri Jun 23 16:00:04 +0000 2017,7433,1217
878057613040115712,Fri Jun 23 01:10:23 +0000 2017,40490,6423
877736472329191424,Thu Jun 22 03:54:17 +0000 2017,76570,17950
877611172832227328,Wed Jun 21 19:36:23 +0000 2017,0,77
877556246731214848,Wed Jun 21 15:58:08 +0000 2017,21853,3596
877316821321428993,Wed Jun 21 00:06:44 +0000 2017,26361,4886
877201837425926144,Tue Jun 20 16:29:50 +0000 2017,26113,5274
876838120628539392,Mon Jun 19 16:24:33 +0000 2017,19947,3152
876537666061221889,Sun Jun 18 20:30:39 +0000 2017,22718,4408
876484053909872640,Sun Jun 18 16:57:37 +0000 2017,18074,2253
876120275196170240,Sat Jun 17 16:52:05 +0000 2017,26905,4417
875747767867523072,Fri Jun 16 16:11:53 +0000 2017,24248,4030
875144289856114688,Thu Jun 15 00:13:52 +0000 2017,21128,4660
875097192612077568,Wed Jun 14 21:06:43 +0000 2017,26440,5744
875021211251597312,Wed Jun 14 16:04:48 +0000 2017,24550,4470
874680097055178752,Tue Jun 13 17:29:20 +0000 2017,26827,4388
874434818259525634,Tue Jun 13 01:14:41 +0000 2017,0,13815
874296783580663808,Mon Jun 12 16:06:11 +0000 2017,25103,3899
874057562936811520,Mon Jun 12 00:15:36 +0000 2017,21899,3754
874012996292530176,Sun Jun 11 21:18:31 +0000 2017,33271,9771
873580283840344065,Sat Jun 10 16:39:04 +0000 2017,23365,3730
873337748698140672,Sat Jun 10 00:35:19 +0000 2017,0,1511
873213775632977920,Fri Jun 09 16:22:42 +0000 2017,6953,1511
872967104147763200,Fri Jun 09 00:02:31 +0000 2017,26349,5131
872820683541237760,Thu Jun 08 14:20:41 +0000 2017,14221,3525
872620804844003328,Thu Jun 08 01:06:27 +0000 2017,20052,3480
872486979161796608,Wed Jun 07 16:14:40 +0000 2017,39337,8575
872122724285648897,Tue Jun 06 16:07:15 +0000 2017,33246,7712
871879754684805121,Tue Jun 06 00:01:46 +0000 2017,36541,10511
871762521631449091,Mon Jun 05 16:15:56 +0000 2017,19588,3314
871515927908634625,Sun Jun 04 23:56:03 +0000 2017,19513,3295
871166179821445120,Sun Jun 04 00:46:17 +0000 2017,0,5442
871102520638267392,Sat Jun 03 20:33:19 +0000 2017,20277,5246
871032628920680449,Sat Jun 03 15:55:36 +0000 2017,21977,3638
870804317367881728,Sat Jun 03 00:48:22 +0000 2017,32581,5905
870726314365509632,Fri Jun 02 19:38:25 +0000 2017,118,3
870656317836468226,Fri Jun 02 15:00:16 +0000 2017,12016,2523
870374049280663552,Thu Jun 01 20:18:38 +0000 2017,80311,25231
870308999962521604,Thu Jun 01 16:00:09 +0000 2017,21223,3970
870063196459192321,Wed May 31 23:43:25 +0000 2017,35505,7948
869772420881756160,Wed May 31 04:27:59 +0000 2017,41236,9652
869702957897576449,Tue May 30 23:51:58 +0000 2017,27413,6048
869596645499047938,Tue May 30 16:49:31 +0000 2017,15514,3003
869227993411051520,Mon May 29 16:24:37 +0000 2017,19843,3624
868880397819494401,Sun May 28 17:23:24 +0000 2017,63661,13848
868639477480148993,Sun May 28 01:26:04 +0000 2017,0,1996
868622495443632128,Sun May 28 00:18:35 +0000 2017,25990,5092
868552278524837888,Sat May 27 19:39:34 +0000 2017,9834,1996
867900495410671616,Fri May 26 00:29:37 +0000 2017,23552,4019
867774946302451713,Thu May 25 16:10:44 +0000 2017,33060,7067
867421006826221569,Wed May 24 16:44:18 +0000 2017,15681,2399
867072653475098625,Tue May 23 17:40:04 +0000 2017,0,118
867051520902168576,Tue May 23 16:16:06 +0000 2017,31411,7578
866720684873056260,Mon May 22 18:21:28 +0000 2017,19551,4621
866686824827068416,Mon May 22 16:06:55 +0000 2017,18804,3347
866450705531457537,Mon May 22 00:28:40 +0000 2017,119362,33997
866334964761202691,Sun May 21 16:48:45 +0000 2017,51229,13815
866094527597207552,Sun May 21 00:53:21 +0000 2017,0,8089
865718153858494464,Fri May 19 23:57:46 +0000 2017,25053,5433
865359393868664832,Fri May 19 00:12:11 +0000 2017,25860,4830
865006731092295680,Thu May 18 00:50:50 +0000 2017,27377,7433
864873206498414592,Wed May 17 16:00:15 +0000 2017,31562,8410
864279568663928832,Tue May 16 00:41:21 +0000 2017,14271,2928
864197398364647424,Mon May 15 19:14:50 +0000 2017,29432,8602
863907417377173506,Mon May 15 00:02:33 +0000 2017,20180,4003
863553081350529029,Sun May 14 00:34:33 +0000 2017,14969,4058
863471782782697472,Sat May 13 19:11:30 +0000 2017,0,2362
863432100342583297,Sat May 13 16:33:49 +0000 2017,23334,5080
863427515083354112,Sat May 13 16:15:35 +0000 2017,2191,92
863079547188785154,Fri May 12 17:12:53 +0000 2017,8594,1074
863062471531167744,Fri May 12 16:05:02 +0000 2017,8312,2362
862831371563274240,Fri May 12 00:46:44 +0000 2017,18792,4996
862722525377298433,Thu May 11 17:34:13 +0000 2017,16745,3434
862457590147678208,Thu May 11 00:01:27 +0000 2017,20092,4805
862096992088072192,Wed May 10 00:08:34 +0000 2017,73049,22544
861383897657036800,Mon May 08 00:54:59 +0000 2017,35466,10426
861288531465048066,Sun May 07 18:36:02 +0000 2017,16904,4030
861005113778896900,Sat May 06 23:49:50 +0000 2017,16417,3718
860981674716409858,Sat May 06 22:16:42 +0000 2017,0,2098
860924035999428608,Sat May 06 18:27:40 +0000 2017,0,787
860563773140209665,Fri May 05 18:36:06 +0000 2017,7389,2098
860524505164394496,Fri May 05 16:00:04 +0000 2017,23259,5167
860276583193509888,Thu May 04 23:34:55 +0000 2017,18047,3408
860184849394610176,Thu May 04 17:30:24 +0000 2017,16409,5714
860177593139703809,Thu May 04 17:01:34 +0000 2017,0,30227
859924526012018688,Thu May 04 00:15:58 +0000 2017,19276,4004
859851578198683649,Wed May 03 19:26:06 +0000 2017,15191,3438
859607811541651456,Wed May 03 03:17:27 +0000 2017,18320,1533
859196978902773760,Tue May 02 00:04:57 +0000 2017,88643,29518
859074603037188101,Mon May 01 15:58:40 +0000 2017,33425,13338
858860390427611136,Mon May 01 01:47:28 +0000 2017,0,7972
858843525470990336,Mon May 01 00:40:27 +0000 2017,15358,3429
858471635011153920,Sun Apr 30 00:02:42 +0000 2017,21242,4766
858107933456039936,Fri Apr 28 23:57:28 +0000 2017,15539,2866
857989990357356544,Fri Apr 28 16:08:49 +0000 2017,15937,2550
857746408056729600,Fri Apr 28 00:00:54 +0000 2017,33866,10452
857393404942143489,Thu Apr 27 00:38:11 +0000 2017,5830,1618
857263160327368704,Wed Apr 26 16:00:39 +0000 2017,19823,4448
857214891891077121,Wed Apr 26 12:48:51 +0000 2017,226,17
857062103051644929,Wed Apr 26 02:41:43 +0000 2017,0,168
857029823797047296,Wed Apr 26 00:33:27 +0000 2017,18741,3949
856543823941562368,Mon Apr 24 16:22:16 +0000 2017,16137,2843
856526610513747968,Mon Apr 24 15:13:52 +0000 2017,11759,1854
856330835276025856,Mon Apr 24 02:15:55 +0000 2017,0,657
856288084350160898,Sun Apr 23 23:26:03 +0000 2017,511,15
856282028240666624,Sun Apr 23 23:01:59 +0000 2017,27525,6213
855862651834028034,Sat Apr 22 19:15:32 +0000 2017,339,26
855860136149123072,Sat Apr 22 19:05:32 +0000 2017,4957,995
855857698524602368,Sat Apr 22 18:55:51 +0000 2017,11798,2098
855851453814013952,Sat Apr 22 18:31:02 +0000 2017,45314,17752
855818117272018944,Sat Apr 22 16:18:34 +0000 2017,26480,5379
855459453768019968,Fri Apr 21 16:33:22 +0000 2017,29750,8154
855245323840757760,Fri Apr 21 02:22:29 +0000 2017,0,5925
855138241867124737,Thu Apr 20 19:16:59 +0000 2017,0,44
854732716440526848,Wed Apr 19 16:25:34 +0000 2017,22756,6025
854482394044301312,Tue Apr 18 23:50:52 +0000 2017,29227,6854
854365224396361728,Tue Apr 18 16:05:17 +0000 2017,18847,4668
854120357044912130,Mon Apr 17 23:52:16 +0000 2017,31932,7458
854010172552949760,Mon Apr 17 16:34:26 +0000 2017,16191,3152
